Time,C1_Voltage,L1_Current,VDC1_Voltage Difference
35.8,0.996187171394233,0.002541875,1
35.9,0.996250197507746,0.002499858,1
36,0.996312181807107,0.002458536,1
36.1,0.996373141512967,0.002417896,1
36.2,0.99643309356135,0.002377929,1
36.3,0.996492054608354,0.002338622,1
36.4,0.996550041034779,0.002299965,1
36.5,0.996607068950674,0.002261946,1
36.6,0.996663154199813,0.002224557,1
36.7,0.996718312364096,0.002187785,1
36.8,0.996772558767873,0.002151621,1
36.9,0.996825908482204,0.002116055,1
37,0.996878376329043,0.002081077,1
37.1,0.996929976885356,0.002046676,1
37.2,0.996980724487168,0.002012845,1
37.3,0.997030633233547,0.001979573,1
37.4,0.997079716990518,0.00194685,1
37.5,0.997127989394916,0.001914669,1
37.6,0.997175463858172,0.00188302,1
37.7,0.99722215357004,0.001851893,1
37.8,0.99726807150226,0.001821282,1
37.9,0.997313230412161,0.001791176,1
38,0.997357642846204,0.001761568,1
38.1,0.99740132114347,0.001732449,1
38.2,0.997444277439081,0.001703812,1
38.3,0.997486523667579,0.001675648,1
38.4,0.997528071566235,0.001647949,1
38.5,0.997568932678312,0.001620709,1
38.6,0.997609118356271,0.001593918,1
38.7,0.997648639764926,0.001567571,1
38.8,0.997687507884541,0.001541659,1
38.9,0.997725733513886,0.001516175,1
39,0.997763327273233,0.001491113,1
39.1,0.997800299607306,0.001466465,1
39.2,0.997836660788186,0.001442224,1
39.3,0.997872420918159,0.001418384,1
39.4,0.997907589932528,0.001394938,1
39.5,0.99794217760237,0.00137188,1
39.6,0.99797619353725,0.001349203,1
39.7,0.998009647187892,0.0013269,1
39.8,0.998042547848803,0.001304967,1
39.9,0.998074904660856,0.001283396,1
40,0.998106726613831,0.001262181,1
40.1,0.998138022548909,0.001241317,1
40.2,0.998168801161129,0.001220798,1
40.3,0.998199071001804,0.001200618,1
40.4,0.998228840480899,0.001180772,1
40.5,0.998258117869363,0.001161254,1
40.6,0.99828691130143,0.001142058,1
40.7,0.998315228776877,0.00112318,1
40.8,0.998343078163248,0.001104614,1
40.9,0.998370467198038,0.001086354,1
41,0.998397403490842,0.001068397,1
41.1,0.998423894525474,0.001050736,1
41.2,0.998449947662038,0.001033368,1
41.3,0.998475570138982,0.001016286,1
41.4,0.998500769075099,0.000999487,1
41.5,0.998525551471514,0.000982965,1
41.6,0.998549924213622,0.000966717,1
41.7,0.998573894073006,0.000950737,1
41.8,0.998597467709315,0.000935021,1
41.9,0.998620651672115,0.000919565,1
42,0.99864345240271,0.000904365,1
42.1,0.998665876235928,0.000889415,1
42.2,0.998687929401886,0.000874713,1
42.3,0.998709618027716,0.000860254,1
42.4,0.99873094813927,0.000846034,1
42.5,0.998751925662794,0.000832049,1
42.6,0.998772556426573,0.000818295,1
42.7,0.998792846162552,0.000804769,1
42.8,0.998812800507927,0.000791466,1
42.9,0.998832425006712,0.000778383,1
43,0.998851725111279,0.000765516,1
43.1,0.998870706183873,0.000752862,1
43.2,0.998889373498101,0.000740417,1
43.3,0.998907732240398,0.000728178,1
43.4,0.998925787511467,0.000716141,1
43.5,0.998943544327698,0.000704304,1
43.6,0.998961007622561,0.000692661,1
43.7,0.998978182247972,0.000681212,1
43.8,0.99899507297565,0.000669951,1
43.9,0.999011684498436,0.000658877,1
44,0.999028021431597,0.000647986,1
44.1,0.999044088314111,0.000637274,1
44.2,0.999059889609927,0.00062674,1
44.3,0.999075429709206,0.00061638,1
44.4,0.999090712929537,0.000606191,1
44.5,0.999105743517143,0.000596171,1
44.6,0.999120525648054,0.000586316,1
44.7,0.999135063429272,0.000576624,1
44.8,0.999149360899909,0.000567093,1
44.9,0.999163422032312,0.000557719,1
45,0.999177250733165,0.000548499,1
45.1,0.999190850844573,0.000539433,1
45.2,0.999204226145133,0.000530516,1
45.3,0.999217380350981,0.000521746,1
45.4,0.999230317116823,0.000513122,1
45.5,0.999243040036957,0.00050464,1
45.6,0.999255552646264,0.000496298,1
45.7,0.999267858421194,0.000488094,1
45.8,0.999279960780733,0.000480026,1
45.9,0.999291863087349,0.000472091,1
46,0.99930356864793,0.000464288,1
46.1,0.999315080714698,0.000456613,1
46.2,0.99932640248612,0.000449065,1
46.3,0.999337537107789,0.000441642,1
46.4,0.999348487673304,0.000434341,1
46.5,0.999359257225124,0.000427162,1
46.6,0.999369848755416,0.000420101,1
46.7,0.99938026520689,0.000413156,1
46.8,0.999390509473608,0.000406327,1
46.9,0.999400584401798,0.00039961,1
47,0.999410492790636,0.000393005,1
47.1,0.99942023739303,0.000386508,1
47.2,0.99942982091638,0.000380119,1
47.3,0.999439246023334,0.000373836,1
47.4,0.999448515332526,0.000367656,1
47.5,0.999457631419304,0.000361579,1
47.6,0.999466596816446,0.000355602,1
47.7,0.999475414014861,0.000349724,1
47.8,0.999484085464286,0.000343943,1
47.9,0.999492613573961,0.000338258,1
48,0.999501000713303,0.000332666,1
48.1,0.999509249212563,0.000327167,1
48.2,0.999517361363469,0.000321759,1
48.3,0.999525339419872,0.00031644,1
48.4,0.999533185598362,0.00031121,1
48.5,0.999540902078892,0.000306065,1
48.6,0.999548491005378,0.000301006,1
48.7,0.999555954486298,0.00029603,1
48.8,0.999563294595277,0.000291137,1
48.9,0.999570513371662,0.000286324,1
49,0.99957761282109,0.000281591,1
49.1,0.999584594916046,0.000276937,1
49.2,0.999591461596406,0.000272359,1
49.3,0.999598214769983,0.000267857,1
49.4,0.999604856313054,0.000263429,1
49.5,0.999611388070878,0.000259075,1
49.6,0.999617811858214,0.000254792,1
49.7,0.999624129459823,0.00025058,1
49.8,0.999630342630963,0.000246438,1
49.9,0.999636453097879,0.000242365,1
50,0.999642462558277,0.000238358,1
